code,name,category
90303,Purplemoney Microfinance Bank,9
90304,Evangel Microfinance Bank,9
90305,Sulspap Microfinance Bank,9
90308,Brightway Microfinance Bank,9
90310,EdFin Microfinance Bank,9
90315,U & C Microfinance Bank,9
90317,PatrickGold Microfinance Bank,9
90318,Federal University Dutse Microfinance Bank,9
90320,KadPoly Microfinance Bank,9
90321,MayFair Microfinance Bank,9
90322,Rephidim Microfinance Bank,9
90323,Mainland Microfinance Bank,9
90324,Ikenne Microfinance Bank,9
90325,Sparkle,9
90326,Balogun Gambari Microfinance Bank,9
90327,Trust Microfinance Bank,9
90328,Eyowo,9
90329,Neptune Microfinance Bank,9
90331,UNAAB Microfinance Bank,9
90332,Evergreen Microfinance Bank,9
90333,Oche Microfinance Bank,9
90336,BIPC Microfinance Bank,9
90338,UniUyo Microfinance Bank,9
90352,Jessefield Microfinance Bank,9
90360,CashConnect Microfinance Bank,9
90362,Molusi Microfinance Bank,9
90363,Headway Microfinance Bank,9
90364,Nuture Microfinance Bank,9
90365,Corestep Microfinance Bank,9
90366,Firmus Microfinance Bank,9
90369,Seedvest Microfinance Bank,9
90370,Ilisan Microfinance Bank,9
90372,Legend Microfinance Bank,9
90373,Think Finance Microfinance Bank,9
90374,Coastline Microfinance Bank,9
90376,Apple Microfinance Bank,9
90377,Isaleoyo Microfinance Bank,9
90378,New Golden Pastures Microfinance Bank,9
90380,Conpro Microfinance Bank,9
90385,GTI Microfinance Bank,9
90386,Interland Microfinance Bank,9
90389,EK-Reliable Microfinance Bank,9
90391,Davodani Microfinance Bank,9
90393,Bridgeway Microfinance Bank,9
90394,Amac Microfinance Bank,9
90395,Borgu Microfinance Bank,9
90396,Oscotech Microfinance Bank,9
90398,Federal Polytechnic Nekede Microfinance Bank,9
90399,Nwannegadi Microfinance Bank,9
90401,Shepherd Trust Microfinance Bank,9
90404,Olowolagba Microfinance Bank,9
90405,Rolez Microfinance Bank,9
90406,Business Support Microfinance Bank,9
90408,GMB Microfinance Bank,9
90409,FCMB BETA,9
90410,Maritime Microfinance Bank,9
90411,Giginya Microfinance bank,9
90412,Preeminent Microfinance Bank,9
90433,Rigo Microfinance Bank Limited,9
90444,BOI Microfinance Bank,9
90448,Moyofade Microfinance Bank,9
90463,Rehoboth Microfinance Bank,9
90464,Unimaid Microfinance Bank,9
90465,Maintrust Microfinance Bank,9
90466,YCT Microfinance Bank,9
90467,Good Neigbours Microfinance Bank,9
90468,OLOFIN OWENA Microfinance Bank,9
90469,Aniocha Microfinance bank,9
90470,Changan RTS Microfinance Bank,9
